,0
0,statistics; python; r; tableau; visualization; data-science
1,python; r; java; c#; aws; sas; sql; statistics; excel; powerpoint; word; language-processing; data-science; business-analytics
2,sql; python; excel; powerpoint; data-science; data-science; data-science; data-science; data-science; data-science; data-science
3,python; r; java; c#; aws; sas; sql; statistics; excel; powerpoint; word; language-processing; data-science; business-analytics
4,business-intelligence
5,sql; hive; spark; python; a/b-testing
6,statistics; requests; excel; sql; r; python; tableau; alteryx; sas; visualization; data-analytics; data-mining; business-intelligence; visual-basic; data-visualization
7,statistics; python; r; etl; data-science
8,python; r; matlab; clustering; numpy; pandas; matplotlib; plotly; data-science; language-processing; data-science; data-science; logistic-regression; neural-networks; data-science
9,visualize; dashboard; sql; javascript; python; tableau
10,visualization; python; numpy; pandas; pyspark; matplotlib; seaborn; java; c#; c; git; data-analytics; data-analytics; predictive-modeling; data-science; scikit-learn
11,sas; r; sql; tableau; python; visualization; statistics; data-analytics; data-analytics; power-bi; visual-basic; data-visualization; power-bi; data-analytics; business-analytics; power-bi; visual-basic
12,statistics; python; data-science; deep-learning; data-science; data-science; data-science
13,alteryx; python; r; sql; hadoop; visualization; tableau; aws; javascript; data-science; data-analytics; data-science; data-science; data-science
14,data-science
15,c; excel; vba; sql; sas; python; r; tableau; data-analytics; data-science; predictive-modeling
16,python; r; java; c#; aws; sas; sql; excel; powerpoint; word; data-analytics; language-processing; data-science; business-analytics
17,
18,statistics; sql; hadoop; r; python; javascript; etl; excel; sas; data-science; data-manipulation; data-mining
19,bayes; data-science; logistic-regression; decision-trees; data-mining
20,python; data-science; data-science
21,statistics; sql; python; classification; data-science
22,excel; sql; r; python; java; c++; hadoop; hive; spark; statistics; tableau; data-science; data-science; a/b-testing
23,
24,statistics; python; r; sql; powerpoint; excel; classification; data-science; data-analytics; power-bi; data-science
25,classification; statistics; python; aws; excel; feature-engineering; anomaly-detection
26,statistics; python; r; sql; classification; data-science
